kepid,koi_disposition,kepler_name,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
4138008,CONFIRMED,Kepler-442 b,0.0,0.0,0.6671104,0.0,0.54810697,0.0,0.0,0.0,0.80649084,0.59229314,0.8402477,0.0,0.7067661,0.41030085,0.6356891,0.0,0.34350342,0.0,0.0,0.58534586,0.6368197,0.0,0.0,0.68975025,0.0,0.6181914,0.63669467,0.65033615,1.0044947,0.0,0.0,0.6524669
4262040,CANDIDATE,,0.4015978,0.6235707,0.0,0.75664186,0.0,0.6983824,0.6729389,0.4688571,0.0,0.0,0.0,0.65892404,0.0,0.0,0.0,0.7686653,0.0,0.6130554,0.7326368,0.0,0.0,0.6028217,0.79366845,0.0,0.7805058,0.0,0.0,0.0,0.0,0.679071,0.5169606,0.0
6468904,FALSE POSITIVE,,0.0,0.019324891,0.4063115,0.03550657,0.0,0.056332834,0.0,0.03920977,0.025628708,0.0,0.32678637,0.0,0.29479063,0.0,0.29619968,0.11080387,0.2854034,0.0,0.111804076,0.27700084,0.27476227,0.0,0.0,0.24314862,0.0,0.11394006,0.23173639,0.05753029,0.26694256,0.0,0.0,0.08739868
5709906,FALSE POSITIVE,,0.50909567,0.6301689,0.0,0.6568083,0.0,0.44332746,0.8081541,0.59192985,0.0,0.0,0.0,0.63387907,0.0,0.0,0.0,0.6422279,0.0,0.30886033,0.53439426,0.0,0.0,0.4747442,0.6447768,0.0,0.7536066,0.0,0.0,0.0,0.0,0.8021321,0.45985934,0.0
7287677,CANDIDATE,,0.0,0.0,0.6899299,0.0,0.38641584,0.0,0.0,0.0,0.566467,0.47642726,0.64385104,0.0,0.5335789,0.0,0.6225562,0.0,0.026565045,0.0,0.0,0.2901379,0.3919544,0.0,0.0,0.7658424,0.0,0.44963598,0.60180837,0.5167031,0.73918366,0.0,0.0,0.3161289
10753922,FALSE POSITIVE,,0.0,0.0,1.2872773,0.0,0.0,0.0,0.0,0.0,0.87812346,0.906441,1.1887031,0.0,0.60718596,0.50266063,1.0554326,0.0,0.22147676,0.0,0.0,0.9741371,0.39785823,0.0,0.0,0.8872299,0.0,1.2424036,0.34654218,0.7594764,1.2953398,0.0,0.0,0.54145736
4059887,FALSE POSITIVE,,0.0,0.25140268,0.34711355,0.004558906,0.0,0.16589567,0.008428432,0.19739759,0.09912572,0.015184708,0.43645015,0.009877823,0.25476837,0.0,0.37032205,0.19076921,0.0,0.0,0.19189906,0.17137575,0.1930835,0.0,0.07832419,0.25071168,0.0,0.0,0.27640572,0.14487317,0.32485074,0.034417108,0.0,0.0
6691169,CANDIDATE,,0.0,0.0,1.1867223,0.0,0.6464919,0.0,0.0,0.0,1.185733,0.9252664,1.1845167,0.0,1.0992457,1.1640056,1.280751,0.0,0.70730907,0.0,0.0,1.0447739,0.68160844,0.0,0.0,0.64053386,0.0,1.0547701,0.93924755,1.4862247,1.4007542,0.0,0.0,1.0815303
5303346,FALSE POSITIVE,,0.23154439,0.5175364,0.0,0.52072215,0.0,0.5791852,0.5828941,0.41350797,0.0,0.0,0.0,0.6348801,0.0,0.0,0.0,0.40610188,0.0,0.4022768,0.68268675,0.0,0.0,0.55121124,0.48426735,0.0,0.4388844,0.0,0.0,0.0,0.0,0.60486996,0.37379017,0.0
3858879,FALSE POSITIVE,,0.6279959,0.8823049,0.0,0.9278736,0.0,0.642024,0.88853824,0.6547641,0.0,0.0,0.0,0.8866085,0.0,0.0,0.0,0.89583874,0.0,0.5847099,0.8142849,0.0,0.0,0.7558975,0.88375765,0.0,1.0632981,0.0,0.0,0.0,0.0,1.0155524,0.6940723,0.0
3120904,CONFIRMED,Kepler-1452 b,0.0,0.0,1.5413909,0.0,1.6499711,0.0,0.0,0.0,1.6559982,1.3437669,1.4696823,0.0,1.3898414,1.3035094,1.6614742,0.0,1.578003,0.0,0.0,1.3855023,1.315304,0.0,0.0,1.5414221,0.0,1.3448713,1.6921607,1.8665837,1.4705164,0.0,0.0,1.4016432
3342467,FALSE POSITIVE,,0.0,0.0,1.0171833,0.0,0.16714591,0.0,0.0,0.0,0.7119825,0.574617,1.2232343,0.0,0.7350751,0.66489965,0.9191605,0.0,0.0,0.0,0.0017861649,1.3577888,0.39986226,0.38985226,0.0,0.35899466,0.0,1.3938675,0.15301454,0.05320397,1.3504674,0.0,0.0,0.42764366
11757451,CONFIRMED,Kepler-443 b,0.0,0.0,0.74562824,0.0,0.5601638,0.0,0.0,0.0,0.78610677,0.7088285,0.7719989,0.0,0.6155318,0.6997308,0.77976567,0.0,0.8753238,0.0,0.0,0.67991066,0.79568154,0.0,0.0,0.71997344,0.0,0.57151777,0.67651325,0.7699144,0.79945934,0.0,0.0,0.41837668
8047428,CONFIRMED,Kepler-1621 b,0.23490535,0.20510608,0.0,0.30639005,0.0,0.19935974,0.27936295,0.3943436,0.0,0.0,0.0,0.2636118,0.0,0.0,0.0,0.41205767,0.0,0.15604728,0.3126223,0.0,0.0047211573,0.01597907,0.2660693,0.0,0.31487662,0.0,0.0,0.0,0.0,0.19818437,0.19990352,0.0
11513486,CONFIRMED,Kepler-1969 b,0.0,0.0,1.1196584,0.0,0.41565117,0.0,0.0,0.0,1.2667786,0.9020798,1.1609681,0.0,1.016873,1.1461384,1.4343055,0.0,0.65850204,0.0,0.0,1.068457,0.88259417,0.0,0.0,0.89376265,0.0,0.94373965,1.2935755,1.5379741,1.3191235,0.0,0.0,1.084629
6520519,CANDIDATE,,0.1959434,0.31617934,0.0,0.11623657,0.0,0.31729487,0.3008145,0.2106136,0.0,0.041831065,0.0,0.26823285,0.050092544,0.2468267,0.0,0.33792704,0.0,0.3646509,0.49329177,0.03226994,0.0,0.18514825,0.36747667,0.0,0.35650575,0.0,0.0,0.018997207,0.0,0.4454916,0.22514707,0.0
9459162,CANDIDATE,,1.2037691,1.3183066,0.0,1.2166104,0.0,0.99667555,1.191858,1.2607751,0.0,0.0,0.0,1.307326,0.0,0.0,0.0,1.3872195,0.0,1.3545412,1.2552189,0.0,0.0,1.1667014,1.1292692,0.0,1.4611688,0.0,0.0,0.0,0.0,1.2160571,1.0803343,0.0
5024138,FALSE POSITIVE,,0.15092427,0.30558527,0.0,0.3780395,0.0,0.2060063,0.35295755,0.3932998,0.0,0.0,0.0,0.31499526,0.0,0.0,0.0,0.4942256,0.0,0.108813226,0.43134215,0.0,0.0,0.2114094,0.18800718,0.0,0.5298066,0.0,0.0,0.0,0.0,0.33358353,0.2802365,0.0
9969287,CANDIDATE,,0.0,0.0,0.631833,0.0,0.18395537,0.0,0.0,0.0,0.64660645,0.37102997,0.8308724,0.0,0.4358452,0.26066637,0.40425175,0.0,0.45291963,0.0,0.0,0.1702342,0.56505525,0.0,0.0,0.5523289,0.0,0.6251992,0.4216624,0.4348813,0.7742508,0.0,0.0,0.28069282
10747501,CANDIDATE,,0.0,0.0,0.530248,0.0,0.09900938,0.0,0.0,0.08468137,0.39644942,0.37316853,0.42865098,0.0,0.44728306,0.35727376,0.42982417,0.0,0.4711944,0.0,0.0,0.49448997,0.22001866,0.0,0.0,0.53033614,0.0,0.38515025,0.5485008,0.61363417,0.4529129,0.0,0.0,0.27130833
